x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000001,-0.0000000000,0.0000000001,0.0000000001,0.0000000002,0.0000000002,-0.0009811461,-0.0005204579,0.0011106413,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
10.0000000000,-0.0000000006,-0.0000000019,0.0000000020,0.0000000001,0.0000000002,0.0000000002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
30.0000000000,-21790.9860138087,-8642.4205452736,23442.2376136616,1089.5493006904,432.1210272636,1172.1118806830,0.0017857858,0.0009709124,0.0020326588,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,1.9102453726,0.0000000000
92.5000000000,-89887.8173069565,-35649.9847492671,96699.2301563553,1089.5493006904,432.1210272639,1172.1118806831,0.0048949327,0.0030248300,0.0057541257,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,7.8797621620,0.0000000000
100.0000000000,-98059.4370621294,-38890.8924537376,105490.0692614707,1089.5493006893,432.1210272629,1172.1118806817,0.0049790519,0.0031566897,0.0058953921,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,8.5961041767,-2.6832644496
107.5000000000,-93882.8284739703,-46626.1877211109,104823.5987918617,-556.8811450899,1031.3727023164,1172.1118806837,0.0049781396,0.0032534391,0.0059469942,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,8.5417952770,-2.6832644496
142.5000000000,-74391.9883958921,-82724.2323021984,111254.0630605581,-556.8811450879,1031.3727023167,1172.1118806831,0.0039341716,0.0030481589,0.0049768442,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,9.0657966465,-2.6832644496
150.0000000000,-70215.3798077255,-90459.5275695696,114512.5569081962,-556.8811450899,1031.3727023154,1172.1118806829,0.0035109612,0.0028202938,0.0045034327,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,9.3313226128,0.0000000000
157.5000000000,-57049.9960937686,-73498.3661502600,93041.4524878922,-1755.3844951941,-2261.4881892400,2862.8139227061,0.0030268858,0.0025159517,0.0039359942,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,7.5816996229,0.0000000000
170.0000000000,-35107.6899038553,-45229.7637847792,57256.2784540891,-1755.3844951928,-2261.4881892386,2862.8139227042,0.0021135609,0.0018714672,0.0028230354,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,21.6002838258,0.0000000000
190.0000000000,0.0000000001,0.0000000001,0.0000000001,-1755.3844951928,-2261.4881892389,2862.8139227044,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
200.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0011989661,-0.0011189135,0.0016399656,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
