x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0010049883,-0.0005489047,0.0011451191,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
10.0000000000,-0.0000000003,-0.0000000002,0.0000000004,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
30.0000000000,-21790.9860138087,-8642.4205452776,23442.2376136631,1089.5493006904,432.1210272639,1172.1118806831,0.0021820703,0.0011660628,0.0024740924,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,1.9102453726,0.0000000000
92.5000000000,-89887.8173069597,-35649.9847492687,96699.2301563588,1089.5493006904,432.1210272639,1172.1118806831,0.0055826425,0.0034542544,0.0065648892,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,7.8797621620,0.0000000000
100.0000000000,-98059.4370621380,-38890.8924537478,105490.0692614825,1089.5493006904,432.1210272639,1172.1118806832,0.0057430154,0.0036306000,0.0067943713,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,8.5961041767,-2.6832644496
107.5000000000,-93882.8284739796,-46626.1877211238,104823.5987918758,-556.8811450878,1031.3727023168,1172.1118806831,0.0057301501,0.0038039397,0.0068778323,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,8.5417952770,-2.6832644496
142.5000000000,-74391.9883959070,-82724.2323022120,111254.0630605781,-556.8811450878,1031.3727023168,1172.1118806831,0.0046602933,0.0039007204,0.0060773310,-65.8572178311,50.0000000000,12271.8463030851,24543.6926061703,9.0657966465,-2.6832644496
150.0000000000,-70215.3798077486,-90459.5275695881,114512.5569082250,-556.8811450878,1031.3727023168,1172.1118806831,0.0042251299,0.0037494457,0.0056488996,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,9.3313226128,0.0000000000
157.5000000000,-57049.9960937958,-73498.3661502905,93041.4524879329,-1755.3844951937,-2261.4881892397,2862.8139227056,0.0036648924,0.0033452806,0.0049620902,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,7.5816996229,0.0000000000
170.0000000000,-35107.6899038745,-45229.7637847943,57256.2784541128,-1755.3844951937,-2261.4881892397,2862.8139227056,0.0026275098,0.0025381340,0.0036532085,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,21.6002838258,0.0000000000
190.0000000000,-0.0000000000,0.0000000000,0.0000000000,-1755.3844951937,-2261.4881892397,2862.8139227056,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
200.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0011751239,-0.0010904666,0.0016031325,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
